title,link,authors,publication,citation_id
Genetic distances and reconstruction of phylogenetic trees from microsatellite DNA,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:hqOjcs7Dif8C,"N Takezaki, M Nei","Genetics 144 (1), 389-399, 1996",VxOmZDgAAAAJ:hqOjcs7Dif8C
DNA polymorphism detectable by restriction endonucleases,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:5nxA0vEk-isC,"M Nei, F Tajima","Genetics 97 (1), 145-163, 1981",VxOmZDgAAAAJ:5nxA0vEk-isC
F‐statistics and analysis of gene diversity in subdivided populations,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:MXK_kJrjxJIC,M Nei,"Annals of human genetics 41 (2), 225-233, 1977",VxOmZDgAAAAJ:MXK_kJrjxJIC
A simple method for estimating and testing minimum-evolution trees,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:kNdYIx-mwKoC,"A Rzhetsky, M Nei",,VxOmZDgAAAAJ:kNdYIx-mwKoC
Concerted and birth-and-death evolution of multigene families,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:4TOpqqG69KYC,"M Nei, AP Rooney","Annu. Rev. Genet. 39, 121-152, 2005",VxOmZDgAAAAJ:4TOpqqG69KYC
Estimation of fixation indices and gene diversities,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:_kc_bZDykSQC,"M Nei, RK Chesser","Annals of human genetics 47 (3), 253-259, 1983",VxOmZDgAAAAJ:_kc_bZDykSQC
Estimation of evolutionary distance between nucleotide sequences.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:ULOm3_A8WrAC,"F Tajima, M Nei","Molecular biology and evolution 1 (3), 269-285, 1984",VxOmZDgAAAAJ:ULOm3_A8WrAC
Nucleotide substitution at major histocompatibility complex class II loci: evidence for overdominant selection,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:Zph67rFs4hoC,"AL Hughes, M Nei","Proceedings of the National Academy of Sciences 86 (3), 958-962, 1989",VxOmZDgAAAAJ:Zph67rFs4hoC
Phylogenetic test of the molecular clock and linearized trees.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:KlAtU1dfN6UC,"N Takezaki, A Rzhetsky, M Nei","Molecular biology and evolution 12 (5), 823-833, 1995",VxOmZDgAAAAJ:KlAtU1dfN6UC
Evolution by the birth-and-death process in multigene families of the vertebrate immune system,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:qxL8FJ1GzNcC,"M Nei, X Gu, T Sitnikova","Proceedings of the National Academy of Sciences 94 (15), 7799-7806, 1997",VxOmZDgAAAAJ:qxL8FJ1GzNcC
Positive Darwinian selection after gene duplication in primate ribonuclease genes,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:YOwf2qJgpHMC,"J Zhang, HF Rosenberg, M Nei","Proceedings of the National Academy of Sciences 95 (7), 3708-3713, 1998",VxOmZDgAAAAJ:YOwf2qJgpHMC
Allelic genealogy under overdominant and frequency-dependent selection and polymorphism of major histocompatibility complex loci.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:4DMP91E08xMC,"N Takahata, M Nei","Genetics 124 (4), 967-978, 1990",VxOmZDgAAAAJ:4DMP91E08xMC
A new method of inference of ancestral nucleotide and amino acid sequences.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:QIV2ME_5wuYC,"Z Yang, S Kumar, M Nei","Genetics 141 (4), 1641-1650, 1995",VxOmZDgAAAAJ:QIV2ME_5wuYC
Overcredibility of molecular phylogenies obtained by Bayesian phylogenetics,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:M3ejUd6NZC8C,"Y Suzuki, GV Glazko, M Nei","Proceedings of the National Academy of Sciences 99 (25), 16138-16143, 2002",VxOmZDgAAAAJ:M3ejUd6NZC8C
Theoretical foundation of the minimum-evolution method of phylogenetic inference.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:dhFuZR0502QC,"A Rzhetsky, M Nei","Molecular biology and evolution 10 (5), 1073-1095, 1993",VxOmZDgAAAAJ:dhFuZR0502QC
POPTREE2: Software for constructing population trees from allele frequency data and computing other population statistics with Windows interface,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:JoZmwDi-zQgC,"N Takezaki, M Nei, K Tamura","Molecular biology and evolution 27 (4), 747-752, 2010",VxOmZDgAAAAJ:JoZmwDi-zQgC
Molecular phylogeny and divergence times of drosophilid species.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:aqlVkmm33-oC,"CA Russo, N Takezaki, M Nei","Molecular biology and evolution 12 (3), 391-404, 1995",VxOmZDgAAAAJ:aqlVkmm33-oC
Maximum likelihood estimation of the number of nucleotide substitutions from restriction sites data,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:mVmsd5A6BfQC,"M Nei, F Tajima","Genetics 105 (1), 207-217, 1983",VxOmZDgAAAAJ:mVmsd5A6BfQC
Pseudogenes as a paradigm of neutral evolution,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:9ZlFYXVOiuMC,"WH Li, T Gojobori, M Nei","Nature 292 (5820), 237-239, 1981",VxOmZDgAAAAJ:9ZlFYXVOiuMC
Genetic drift and estimation of effective population size,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:R3hNpaxXUhUC,"M Nei, F Tajima","Genetics 98 (3), 625-640, 1981",VxOmZDgAAAAJ:R3hNpaxXUhUC
Limitations of the evolutionary parsimony method of phylogenetic analysis.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:Wp0gIr-vW9MC,"L Jin, M Nei","Molecular biology and evolution 7 (1), 82-102, 1990",VxOmZDgAAAAJ:Wp0gIr-vW9MC
The evolution of animal chemosensory receptor gene repertoires: roles of chance and necessity,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:ldfaerwXgEUC,"M Nei, Y Niimura, M Nozawa","Nature Reviews Genetics 9 (12), 951-963, 2008",VxOmZDgAAAAJ:ldfaerwXgEUC
A simple method for estimating average number of nucleotide substitutions within and between populations from restriction data.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:ZeXyd9-uunAC,"M Nei, JC Miller","Genetics 125 (4), 873-879, 1990",VxOmZDgAAAAJ:ZeXyd9-uunAC
Estimation of divergence times for major lineages of primate species,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:IWHjjKOFINEC,"GV Glazko, M Nei","Molecular biology and evolution 20 (3), 424-434, 2003",VxOmZDgAAAAJ:IWHjjKOFINEC
Bottleneck effects on average heterozygosity and genetic distance with the stepwise mutation model,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:7PzlFSSx8tAC,"R Chakraborty, M Nei","Evolution, 347-356, 1977",VxOmZDgAAAAJ:7PzlFSSx8tAC
Human polymorphic genes: world distribution,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:hC7cP41nSMkC,"AK Roychoudhury, M Nei","Oxford University Press, USA, 1988",VxOmZDgAAAAJ:hC7cP41nSMkC
Genetic relationship and evolution of human races,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:HDshCWvjkbEC,M Nei,"Evolutionary biology 14, 1-59, 1982",VxOmZDgAAAAJ:HDshCWvjkbEC
Evolutionary relationships of human populations on a global scale.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:qUcmZB5y_30C,"M Nei, AK Roychoudhury","Molecular biology and evolution 10 (5), 927-943, 1993",VxOmZDgAAAAJ:qUcmZB5y_30C
Phylogenetic analysis in molecular evolutionary genetics,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:-f6ydRqryjwC,M Nei,"Annual review of genetics 30 (1), 371-403, 1996",VxOmZDgAAAAJ:-f6ydRqryjwC
Selectionism and neutralism in molecular evolution,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:isC4tDSrTZIC,M Nei,"Molecular biology and evolution 22 (12), 2318-2342, 2005",VxOmZDgAAAAJ:isC4tDSrTZIC
Extent of protein polymorphism and the neutral mutation theory,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:mB3voiENLucC,M Nei,"Evol. Biol. 17, 73-118, 1984",VxOmZDgAAAAJ:mB3voiENLucC
Variances of the average numbers of nucleotide substitutions within and between populations.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:TQgYirikUcIC,"M Nei, L Jin","Molecular Biology and Evolution 6 (3), 290-300, 1989",VxOmZDgAAAAJ:TQgYirikUcIC
Efficiencies of different genes and different tree-building methods in recovering a known vertebrate phylogeny.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:e5wmG9Sq2KIC,"CA Russo, N Takezaki, M Nei","Molecular biology and evolution 13 (3), 525-536, 1996",VxOmZDgAAAAJ:e5wmG9Sq2KIC
"Genic variation within and between the three major races of man, Caucasoids, Negroids, and Mongoloids.",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:RHpTSmoSYBkC,"M Nei, AK Roychoudhury","American journal of human genetics 26 (4), 421, 1974",VxOmZDgAAAAJ:RHpTSmoSYBkC
Estimation of divergence times from multiprotein sequences for a few mammalian species and several distantly related organisms,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:_Qo2XoVZTnwC,"M Nei, P Xu, G Glazko","Proceedings of the National Academy of Sciences 98 (5), 2497-2502, 2001",VxOmZDgAAAAJ:_Qo2XoVZTnwC
Interspecific gene differences and evolutionary time estimated from electrophoretic data on protein identity,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:j3f4tGmQtD8C,M Nei,"The American Naturalist 105 (945), 385-398, 1971",VxOmZDgAAAAJ:j3f4tGmQtD8C
Linkage disequilibrium in subdivided populations,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:maZDTaKrznsC,"M Nei, WH Li","Genetics 75 (1), 213-219, 1973",VxOmZDgAAAAJ:maZDTaKrznsC
"Efficiencies of fast algorithms of phylogenetic inference under the criteria of maximum parsimony, minimum evolution, and maximum likelihood when a large number of sequences …",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:M3NEmzRMIkIC,"K Takahashi, M Nei","Molecular biology and evolution 17 (8), 1251-1258, 2000",VxOmZDgAAAAJ:M3NEmzRMIkIC
"Statistical properties of the ordinary least-squares, generalized least-squares, and minimum-evolution methods of phylogenetic inference",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:lSLTfruPkqcC,"A Rzhetsky, M Nei","Journal of molecular evolution 35 (4), 367-375, 1992",VxOmZDgAAAAJ:lSLTfruPkqcC
Gene genealogy and variance of interpopulational nucleotide differences,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:k_IJM867U9cC,"N Takahata, M Nei","Genetics 110 (2), 325-344, 1985",VxOmZDgAAAAJ:k_IJM867U9cC
Estimation of average number of nucleotide substitutions when the rate of substitution varies with nucleotide,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:hFOr9nPyWt4C,"T Gojobori, K Ishii, M Nei","Journal of Molecular evolution 18 (6), 414-422, 1982",VxOmZDgAAAAJ:hFOr9nPyWt4C
Positive Darwinian selection promotes charge profile diversity in the antigen-binding cleft of class I major-histocompatibility-complex molecules.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:r0BpntZqJG4C,"AL Hughes, T Ota, M Nei","Molecular biology and evolution 7 (6), 515-524, 1990",VxOmZDgAAAAJ:r0BpntZqJG4C
The theory and estimation of genetic distance,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:YFjsv_pBGBYC,M Nei,"Genetic structure of populations, 45-54, 1973",VxOmZDgAAAAJ:YFjsv_pBGBYC
Extensive gains and losses of olfactory receptor genes in mammalian evolution,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:P5F9QuxV20EC,"Y Niimura, M Nei","PloS one 2 (8), e708, 2007",VxOmZDgAAAAJ:P5F9QuxV20EC
Relative efficiencies of different tree-making methods for molecular data,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:TFP_iSt0sucC,M Nei,"Phylogenetic analysis of DNA sequences/edited by Michael M. Miyamoto, Joel …, 1991",VxOmZDgAAAAJ:TFP_iSt0sucC
Methods for computing the standard errors of branching points in an evolutionary tree and their application to molecular data from humans and apes.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:4JMBOYKVnBMC,"M Nei, JC Stephens, N Saitou","Molecular Biology and Evolution 2 (1), 66-85, 1985",VxOmZDgAAAAJ:4JMBOYKVnBMC
"Relative efficiencies of the maximum-likelihood, neighbor-joining, and maximum-parsimony methods when substitution rate varies with site.",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:JV2RwH3_ST0C,"Y Tateno, N Takezaki, M Nei","Molecular biology and evolution 11 (2), 261-277, 1994",VxOmZDgAAAAJ:JV2RwH3_ST0C
Evolutionary dynamics of olfactory receptor genes in fishes and tetrapods,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:M05iB0D1s5AC,"Y Niimura, M Nei","Proceedings of the National Academy of Sciences 102 (17), 6039-6044, 2005",VxOmZDgAAAAJ:M05iB0D1s5AC
Origins and evolution of the recA/RAD51 gene family: evidence for ancient gene duplication and endosymbiotic gene transfer,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:SP6oXDckpogC,"Z Lin, H Kong, M Nei, H Ma","Proceedings of the National Academy of Sciences 103 (27), 10328-10333, 2006",VxOmZDgAAAAJ:SP6oXDckpogC
Evolution of F-box genes in plants: different modes of sequence divergence and their relationships with functional diversification,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:1qzjygNMrQYC,"G Xu, H Ma, M Nei, H Kong","Proceedings of the National Academy of Sciences 106 (3), 835-840, 2009",VxOmZDgAAAAJ:1qzjygNMrQYC
Evolution of olfactory receptor genes in the human genome,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:vV6vV6tmYwMC,"Y Niimura, M Nei","Proceedings of the National Academy of Sciences 100 (21), 12235-12240, 2003",VxOmZDgAAAAJ:vV6vV6tmYwMC
Evolution of the major histocompatibility complex: independent origin of nonclassical class I genes in different groups of mammals.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:blknAaTinKkC,"AL Hughes, M Nei","Molecular biology and evolution 6 (6), 559-579, 1989",VxOmZDgAAAAJ:blknAaTinKkC
"Accuracies of ancestral amino acid sequences inferred by the parsimony, likelihood, and distance methods",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:iH-uZ7U-co4C,"J Zhang, M Nei","Journal of molecular evolution 44 (1), S139-S146, 1997",VxOmZDgAAAAJ:iH-uZ7U-co4C
Accuracy of estimated phylogenetic trees from molecular data,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:bEWYMUwI8FkC,"Y Tateno, M Nei, F Tajima","Journal of Molecular Evolution 18 (6), 387-404, 1982",VxOmZDgAAAAJ:bEWYMUwI8FkC
The theory of genetic distance and evolution of human races,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:O3NaXMp0MMsC,M Nei,"Japanese Journal of Human Genetics 23 (4), 341-369, 1978",VxOmZDgAAAAJ:O3NaXMp0MMsC
The neutral theory of molecular evolution in the genomic era,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:tkaPQYYpVKoC,"M Nei, Y Suzuki, M Nozawa","Annual review of genomics and human genetics 11, 265-289, 2010",VxOmZDgAAAAJ:tkaPQYYpVKoC
Type I MADS-box genes have experienced faster birth-and-death evolution than type II MADS-box genes in angiosperms,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:3s1wT3WcHBgC,"J Nam, J Kim, S Lee, G An, H Ma, M Nei","Proceedings of the National Academy of Sciences 101 (7), 1910-1915, 2004",VxOmZDgAAAAJ:3s1wT3WcHBgC
Modification of linkage intensity by natural selection,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:NaGl4SEjCO4C,M Nei,"Genetics 57 (3), 625, 1967",VxOmZDgAAAAJ:NaGl4SEjCO4C
